ID,Code,Day,Month,Year,Addressed from (Actual) ,Reg. Place written,Reg. Place written city,Reg. Place written country,"Reg. Place written, second city",Autograph or Typed,PhysDes,initialed or signed,phys descr detail,PhysDes notes,leaves,sides,Envelope,Postmark (Actual),Addressed to (Actual),Reg. recipient,Reg place sent,Reg. PlaceSent City,Reg. PlaceSent Country,Additional,Repository,Public?,Collection,Repository information,Second Repository,SECOND PUBLIC?,OwnerRights,PrimaryLang,File,Sender,PlacePrevPubl,Verified
1404,SABE 19-08-70 HEMY,19,8,70,Ussy,,Ussy-sur-Marne,France,,A,C,S,,,1,1,E,"20-8-70, La Ferté-sous-Jouarre","Monsieur Herbert Myron, Hôtel Michelet-Odéon, 6 Place de L'Odéon 75 - Paris 6ᵒ",Herbert Myron,Hôtel Michelet Odéon,Paris,France,,Harvard University,public,"Miscellaneous theatrical papers, 1673-1976",MS Thr 32,,,Beckett,English,Myron,Samuel Beckett,,
1405,SABE 18-01-80 HEMY,18,1,80,,,,,,,Other,,,,1,1,E,"18-1-80, Paris","Herbert Myron, 8 Plympton St., Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,"Address label, in SB's hand, sent from Minuit, enclosing Compagnie, Minuit, 19-1-1980.",Harvard University,public,"Samuel Beckett letters to Herbert Benjamin Myron and other papers, 1953-1985",MS Thr 1023,,,Beckett,English,Myron,Samuel Beckett,,
1406,SABE 13-03-78 HEMY,13,3,78,,,,,,A,C,S,,,2,2,,,,Herbert Myron,,,, ,Harvard University,public,"Samuel Beckett letters to Herbert Benjamin Myron and other papers, 1953-1985",MS Thr 1023,,,Beckett,English,Myron,Samuel Beckett,,
1407,SABE 15-10-78 HEMY,15,10,78,Paris,,Paris,France,,A,C,S,,,1,1,E,"16-10-78, Paris","Mr Herbert Myron, 8 Plympton St., Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,,Harvard University,public,"Samuel Beckett letters to Herbert Benjamin Myron and other papers, 1953-1985",MS Thr 1023,,,Beckett,English,Myron,Samuel Beckett,,Y
1408,SABE 20-05-58 HEMY,20,5,58,Ussy sur Marne,,Ussy-sur-Marne,France,,A,C,S,,,1,1,E,"20-5-58, La Ferté-sous-Jouarre","Monsieur Herbert B. Myron, Hôtel de la Place de l'Odéon, 6 Place de l'Odéon, Paris 5ᵐᵉ",Herbert Myron,Hôtel Michelet Odéon,Paris,France,,Boston University,public,Myron Collection,,,,Beckett,English,Myron,Samuel Beckett,,
1409,SABE 06-04-81 HEMY,6,4,81,,,,,,A,C,S,imprinted,,1,1,E,,,Herbert Myron,,Paris,France,"No postmark; hand delivered. Enclosed: The inscribed announcement of the Theatre Schiller 75 birthday, 12 April 1981.",Harvard University,public,"Samuel Beckett letters to Herbert Benjamin Myron and other papers, 1953-1985",MS Thr 1023,,,Beckett,English,Myron,Samuel Beckett,,
1412,SABE 21-04-67 HEMY,21,4,67,Ussy,,Ussy-sur-Marne,France,,A,C,S,,,1,1,E,"22-4-67, La Ferté-sous-Jouarre","Mr Herbert Myron, 8 Plympton Street, Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,,Harvard University,public,"Miscellaneous theatrical papers, 1673-1976",MS Thr 32,,,Beckett,English,Myron,Samuel Beckett,,
1413,SABE 21-09-62 HEMY,21,9,62,Paris,,Paris,France,,A,L,S,,,1,2,2 E,"21-9-62, Paris","Mr Herbert Myron, 8 Plympton Street, Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,"Enclosure: MS and 6 TMSS of Cascando. Two envelopes, marked I and II, both with the same postmark. Datestamped 24-9-62.",Harvard University,public,"Samuel Beckett papers concerning Cascando, 1961-1962",MS Thr 70 (9),,,Beckett,English,Myron,Samuel Beckett,,Y
1414,SABE 22-01-62 HEMY,22,1,62,Ussy,,Ussy-sur-Marne,France,,A,L,S,,,1,1,E,"22-1-62, La Ferté-sous-Jouarre","Mr Herbert Myron, 8 Plympton Street, Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,AN by Herbert Myron,Boston University,public,Myron Collection,,,,Beckett,English,Myron,Samuel Beckett,,
1415,SABE 22-01-74 HEMY (a),22,1,74,Paris,,Paris,France,,A,L,S,,,1,1,E,"22-1-74, Paris","Monsieur Herbert Myron, Hôtel Michelet-Odéon, 6 Place de L'Odéon, 75006 -PARIS ",Herbert Myron,Hôtel Michelet Odéon,Paris,France,"Presentation copy of ""Kottabista,"" Hermanthena, A Dublin University Review, Centenary Number.",Harvard University,public,"Samuel Beckett letters to Herbert Benjamin Myron and other papers, 1953-1985",MS Thr 1023,,,MYRON,English,Myron,Samuel Beckett,,
1416,SABE 22-01-74 HEMY (b),22,1,74,Paris,,Paris,France,,A,C,S,,,1,1,,,,Herbert Myron,,Paris,France,,Harvard University,public,"Samuel Beckett letters to Herbert Benjamin Myron and other papers, 1953-1985",MS Thr 1023,,,Beckett,English,Myron,Samuel Beckett,,Y
1417,SABE 22-04-72 HEMY,22,4,72,La Closerie,"La Closerie des Lilas, 171 Boulevard Montparnasse",Paris,France,,A,N,I,,,1,1,,,,Herbert Myron,,"Cambridge, MA",USA,,Harvard University,public,"Samuel Beckett letters to Herbert Benjamin Myron and other papers, 1953-1985",MS Thr 1023,,,Beckett,French,Myron,Samuel Beckett,,
1419,SABE 22-11-63 HEMY,22,11,63,Paris,,Paris,France,,A,L,S,,,1,1,E,"22-11-63, Paris","Mr Herbert Myron, 8 Plympton Street, Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,,Boston University,public,Myron Collection,,,,Beckett,English,Myron,Samuel Beckett,,
1420,SABE 23-03-63 HEMY,23,3,63,Paris,,Paris,France,,A,L,S,,,1,1,E,"23-3-63, Paris","Mr Herbert Myron, 8 Plympton Street, Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,,Boston University,public,Myron Collection,,,,Beckett,English,Myron,Samuel Beckett,,
1421,SABE 23-07-72 HEMY,23,7,72,Paris,,Paris,France,,A,C,S,,,1,1,E,"23-7-72, Paris","Mr Herbert Myron, 8 Plympton St., Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,,Harvard University,public,"Samuel Beckett letters to Herbert Benjamin Myron and other papers, 1953-1985",MS Thr 1023,,,Beckett,English,Myron,Samuel Beckett,,
1422,SABE 23 [for 22]-02-66 HEMY,22,2,66,Paris,,Paris,France,,A,C,S,,,1,2,E,"22-2-66, Paris","Mr Herbert Myron, 8 Plympton Street, Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,Dating from postmark.,Boston University,public,Myron Collection,,,,Beckett,English,Myron,Samuel Beckett,,
1424,SABE 19-01-80 HEMY,19,1,80,,,,,,,Envelope,,,,,,E,"19-1-80, Paris","Mr Herbert Myron, 8 Plympton St., Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,"Enclosure: Le Théâtre National de Belgique program for Oh Les Beaux Jours, 1980-81 Season",Harvard University,public,Theatre Collection: backlog,,,,Beckett,English,Myron,Samuel Beckett,,Y
1425,SABE 08-04-81 HEMY,8,4,81,,,,,,,Envelope,,,,,,E,"8-4-81, Paris","Monsieur Herbert Myron, Hôtel Michelet-Odéon, 6 Place de L'Odéon, 75006 PARIS ",Herbert Myron,Hôtel Michelet Odéon,Paris,France,Enclosed a book of TMS,Harvard University,public,Theatre Collection: backlog,,,,Beckett,English,Myron,Samuel Beckett,,
1426,SABE 24-04-61 HEMY,24,4,61,Paris,,Paris,France,,A,C,S,,,1,1,E,"25-4-61, Paris","Mr Herbert Myron, 8 Plympton Street, Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,,Boston University,public,Myron Collection,,,,Beckett,English,Myron,Samuel Beckett,,
1427,SABE 24-12-74 HEMY,24,12,74,Paris,,Paris,France,,A,C,S,,,1,2,E,"24-?-74, Paris","Mr Herbert Myron, 8 Plympton St., Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,,Harvard University,public,"Samuel Beckett letters to Herbert Benjamin Myron and other papers, 1953-1985",MS Thr 1023,,,Beckett,English,Myron,Samuel Beckett,,
1428,SABE 25-02-63 HEMY,25,2,63,Paris,,Paris,France,,A,L,S,,,1,2,E,"26-2-63, Paris","Mr Herbert Myron, 8 Plympton Street, Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,"Dating: SB met Barney Rosset on Monday, 25 February 1963; cf. 22 February 1963 to John Calder.",Boston University,public,Myron Collection,,,,Beckett,English,Myron,Samuel Beckett,,
1429,SABE 25-02-75 HEMY,25,2,75,Berlin,,Berlin,Germany,,A,PC,S,,,1,1,,Illegible,"Herbert Myron, 8 Plympton St., Cambrid[g]e, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,"""Lone Tree,"" C.D. Friedrich",Harvard University,public,"Samuel Beckett letters to Herbert Benjamin Myron and other papers, 1953-1985",MS Thr 1023,,,Beckett,English,Myron,Samuel Beckett,,
1430,SABE 26-02-71 HEMY,26,2,71,Paris,,Paris,France,,A,C,S,,,1,1,E,"26-2-71, Paris","Mr Herbert Myron, 8 Plympton St., Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,,Harvard University,public,"Miscellaneous theatrical papers, 1673-1976",MS Thr 32,,,Beckett,English,Myron,Samuel Beckett,,
1431,SABE 26-03-62 HEMY,26,3,62,Ussy sur Marne,,Ussy-sur-Marne,France,,A,L,S,,,1,1,E,"26-3-62, La Ferté-sous-Jouarre","Mr Herbert Myron, 8 Plympton Street, Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,,Boston University,public,Myron Collection,,,,Beckett,English,Myron,Samuel Beckett,"The Letters of Samuel Beckett, Volume 3: 472-473.",
1432,SABE 19-12-80 HEMY,19,12,80,,,,,,,Envelope,,,,,,E,"19-12-80, Paris","Mr. Herbert Myron, 8 Plympton St., Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,"Enclosure: Poster and program, Tabori's Beckett-Abend 1. Poster: Ab Donnerstag, 4 Dezember 1980. Upper left corner: Lettre Avion.",Harvard University,public,Theatre Collection: backlog,,,,Beckett,English,Myron,Samuel Beckett,,
1433,SABE 20-05-81 HEMY,20,5,81,,,,,,A,C,S,,,1,1,,,,Herbert Myron,,Paris,France,On green square note paper.,Harvard University,public,"Samuel Beckett letters to Herbert Benjamin Myron and other papers, 1953-1985",MS Thr 1023,,,Beckett,English,Myron,Samuel Beckett,,
1434,SABE 01-05-79 HEMY,1,5,79,London,,London,England,,A,L,S,,,1,1,E,"2-5-79, London","Mr Herbert Myron, 8 Plympton St., Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,On Hyde Park Hotel letterhead.,Harvard University,public,"Samuel Beckett letters to Herbert Benjamin Myron and other papers, 1953-1985",MS Thr 1023,,,Beckett,English,Myron,Samuel Beckett,,
1436,SABE 27-09-74 HEMY,27,9,74,Tangier,,Tangier,Morocco,,A,PC,S,,,1,1,,"?-9-74, Tangier","Mr Herbert Myron, 8 Plympton St., Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,"""Maroc Typique""",Harvard University,public,"Samuel Beckett letters to Herbert Benjamin Myron and other papers, 1953-1985",MS Thr 1023,,,Beckett,English,Myron,Samuel Beckett,,Y
1437,SABE 27 [for 26]-12-70 HEMY,26,12,70,Paris,,Paris,France,,A,C,S,,,1,1,E,"26-12-70, Paris","Mr Herbert Myron, 8 Plympton St., Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,Harvard Library dates this letter as 27 Decmeber 1970.,Harvard University,public,"Miscellaneous theatrical papers, 1673-1976",MS Thr 32,,,Beckett,English,Myron,Samuel Beckett,,
1438,SABE 17-11-69 BRLO,17,11,69,"NABEUL, TUNISIA",,Nabeul,Tunisia,,A,C,S,,,1,1,E,18/11/69,BRUCE LORICH,BRUCE LORICH,"12 JOHNS RD., CHELTENHASE, PENN, USA",,,,LORICH,,,,,,Beckett,English,LORICH,Samuel Beckett,,
1438,SABE 28-01-77 HEMY,28,1,77,Paris,,Paris,France,,A,C,S,imprinted,,1,1,E,"28-1-77, Paris","Mr Herbert Myron, 8 Plympton St., Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,,Harvard University,public,"Samuel Beckett letters to Herbert Benjamin Myron and other papers, 1953-1985",MS Thr 1023,,,Beckett,English,Myron,Samuel Beckett,,
1439,SABE 24-02-80 HEMY,24,2,80,Paris,,Paris,France,,A,C,S,,,1,1,E,"25-2-80, Paris","Mr Herbert Myron, 8 Plympton St., Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,,Harvard University,public,"Samuel Beckett letters to Herbert Benjamin Myron and other papers, 1953-1985",MS Thr 1023,,,Beckett,English,Myron,Samuel Beckett,,
1440,SABE 26-04-80 HEMY,26,4,80,Paris,,Paris,France,,A,C,S,,,1,1,E,"28-4-80, Paris","Mr Herbert Myron, 8 Plympton St., Cambridge, Mass., U.S.A.",Herbert Myron,8 Plympton Street,"Cambridge, MA",USA,,Harvard University,public,"Samuel Beckett letters to Herbert Benjamin Myron and other papers, 1953-1985",MS Thr 1023,,,Beckett,English,Myron,Samuel Beckett,,
